Time,Active,Idle
Sun May 08 2022 12:50:40 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:50:50 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:51:00 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:51:10 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:51:20 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:51:30 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:51:40 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:51:50 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:52:00 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:52:10 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:52:20 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:52:30 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:52:40 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:52:50 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:53:00 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:53:10 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:53:20 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:53:30 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:53:40 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:53:50 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:54:00 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:54:10 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:54:20 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:54:30 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:54:40 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:54:50 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:55:00 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:55:10 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:55:20 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 12:55:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:55:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:55:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:56:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:56:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:56:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:56:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:56:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:56:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:57:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:57:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:57:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:57:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:57:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:57:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:58:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:58:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:58:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:58:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:58:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:58:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:59:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:59:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:59:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:59:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:59:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 12:59:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:00:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:00:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:00:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:00:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:00:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:00:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:01:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:01:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:01:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:05:30 GMT-0400 (Eastern Daylight Time),7,0
Sun May 08 2022 13:05:40 GMT-0400 (Eastern Daylight Time),7,0
Sun May 08 2022 13:05:50 GMT-0400 (Eastern Daylight Time),7,0
Sun May 08 2022 13:06:00 GMT-0400 (Eastern Daylight Time),7,0
Sun May 08 2022 13:06:10 GMT-0400 (Eastern Daylight Time),7,0
Sun May 08 2022 13:06:20 GMT-0400 (Eastern Daylight Time),7,0
Sun May 08 2022 13:06:30 GMT-0400 (Eastern Daylight Time),4,2
Sun May 08 2022 13:06:40 GMT-0400 (Eastern Daylight Time),4,2
Sun May 08 2022 13:06:50 GMT-0400 (Eastern Daylight Time),4,2
Sun May 08 2022 13:07:00 GMT-0400 (Eastern Daylight Time),4,2
Sun May 08 2022 13:07:10 GMT-0400 (Eastern Daylight Time),4,2
Sun May 08 2022 13:07:20 GMT-0400 (Eastern Daylight Time),4,2
Sun May 08 2022 13:07:30 GMT-0400 (Eastern Daylight Time),1,4
Sun May 08 2022 13:07:40 GMT-0400 (Eastern Daylight Time),1,4
Sun May 08 2022 13:07:50 GMT-0400 (Eastern Daylight Time),1,4
Sun May 08 2022 13:08:00 GMT-0400 (Eastern Daylight Time),1,4
Sun May 08 2022 13:08:10 GMT-0400 (Eastern Daylight Time),1,4
Sun May 08 2022 13:08:20 GMT-0400 (Eastern Daylight Time),1,4
Sun May 08 2022 13:08:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:08:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:08:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:09:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:09:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:09:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:09:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:09:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:09:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:10:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:10:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:10:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:10:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:10:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:10:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:11:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:11:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:11:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:11:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:11:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:11:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:12:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:12:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:12:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:12:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:12:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:12:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:13:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:13:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:13:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:13:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:13:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:13:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:14:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:14:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:14:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:14:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:14:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:14:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:15:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:15:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:15:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:15:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:15:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:15:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:16:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:16:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:16:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:16:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:16:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:16:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:17:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:17:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:17:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:17:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:17:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:17:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:18:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:18:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:18:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:18:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:18:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:18:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:19:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:19:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:19:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:19:30 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:19:40 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:19:50 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:20:00 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:20:10 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:20:20 GMT-0400 (Eastern Daylight Time),0,5
Sun May 08 2022 13:20:30 GMT-0400 (Eastern Daylight Time),0,3
Sun May 08 2022 13:20:40 GMT-0400 (Eastern Daylight Time),0,3
Sun May 08 2022 13:20:50 GMT-0400 (Eastern Daylight Time),0,3
Sun May 08 2022 13:21:00 GMT-0400 (Eastern Daylight Time),0,3
Sun May 08 2022 13:21:10 GMT-0400 (Eastern Daylight Time),0,3
Sun May 08 2022 13:21:20 GMT-0400 (Eastern Daylight Time),0,3
Sun May 08 2022 13:21:30 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 13:21:40 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 13:21:50 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 13:22:00 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 13:22:10 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 13:22:20 GMT-0400 (Eastern Daylight Time),0,1
Sun May 08 2022 13:22:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:22:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:22:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:23:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:23:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:23:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:23:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:23:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:23:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:24:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:24:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:24:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:24:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:24:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:24:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:25:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:25:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:25:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:25:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:25:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:25:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:26:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:26:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:26:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:26:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:26:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:26:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:27:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:27:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:27:20 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:27:30 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:27:40 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:27:50 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:28:00 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:28:10 GMT-0400 (Eastern Daylight Time),0,0
Sun May 08 2022 13:28:20 GMT-0400 (Eastern Daylight Time),0,0
