Time,request_count.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/request_count" resource.type="cloud_run_revision" resource.labels.service_name="ml-deploy" resource.labels.project_id="shining-hydra-347804" resource.labels.location="us-central1".project_id:shining-hydra-347804.response_code_class:2xx
Sun May 08 2022 13:20:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:21:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:21:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:22:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:22:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:23:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:23:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:24:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:24:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:25:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:25:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:26:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:26:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:27:00 GMT-0400 (Eastern Daylight Time),0
