Time,container/cpu/utilizations.cloud_run_revision.ALIGN_SUM.REDUCE_PERCENTILE_99.metric.type="run.googleapis.com/container/cpu/utilizations" resource.type="cloud_run_revision" resource.labels.service_name="ml-deploy" resource.labels.project_id="shining-hydra-347804" resource.labels.location="us-central1".project_id:shining-hydra-347804.service_name:ml-deploy
Sun May 08 2022 12:46:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:46:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:47:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:47:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:47:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:47:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:47:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:47:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:48:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:48:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:48:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:48:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:48:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:48:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:49:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:49:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:49:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:49:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:49:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:49:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:50:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:50:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:50:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:50:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:50:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:50:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:51:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:51:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:51:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:51:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:51:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:51:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:52:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:52:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:52:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:52:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:52:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:52:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:53:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:53:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:53:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:53:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:53:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:53:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:54:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:54:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:54:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:54:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:54:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:54:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:55:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 12:55:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:05:20 GMT-0400 (Eastern Daylight Time),0.4996
Sun May 08 2022 13:05:30 GMT-0400 (Eastern Daylight Time),0.4996
Sun May 08 2022 13:05:40 GMT-0400 (Eastern Daylight Time),0.4996
Sun May 08 2022 13:05:50 GMT-0400 (Eastern Daylight Time),0.4996
Sun May 08 2022 13:06:00 GMT-0400 (Eastern Daylight Time),0.4996
Sun May 08 2022 13:06:10 GMT-0400 (Eastern Daylight Time),0.4996
Sun May 08 2022 13:06:20 GMT-0400 (Eastern Daylight Time),0.6892
Sun May 08 2022 13:06:30 GMT-0400 (Eastern Daylight Time),0.6892
Sun May 08 2022 13:06:40 GMT-0400 (Eastern Daylight Time),0.6892
Sun May 08 2022 13:06:50 GMT-0400 (Eastern Daylight Time),0.6892
Sun May 08 2022 13:07:00 GMT-0400 (Eastern Daylight Time),0.6892
Sun May 08 2022 13:07:10 GMT-0400 (Eastern Daylight Time),0.6892
Sun May 08 2022 13:07:20 GMT-0400 (Eastern Daylight Time),0.0295
Sun May 08 2022 13:07:30 GMT-0400 (Eastern Daylight Time),0.0295
Sun May 08 2022 13:07:40 GMT-0400 (Eastern Daylight Time),0.0295
Sun May 08 2022 13:07:50 GMT-0400 (Eastern Daylight Time),0.0295
Sun May 08 2022 13:08:00 GMT-0400 (Eastern Daylight Time),0.0295
Sun May 08 2022 13:08:10 GMT-0400 (Eastern Daylight Time),0.0295
Sun May 08 2022 13:08:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:08:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:08:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:08:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:09:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:09:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:09:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:09:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:09:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:09:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:10:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:10:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:10:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:10:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:10:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:10:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:11:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:11:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:11:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:11:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:11:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:11:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:12:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:12:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:12:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:12:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:12:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:12:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:13:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:13:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:13:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:13:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:13:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:13:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:14:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:14:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:14:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:14:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:14:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:14:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:15:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:15:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:15:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:15:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:15:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:15:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:16:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:16:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:16:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:16:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:16:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:16:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:17:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:17:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:17:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:17:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:17:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:17:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:18:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:18:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:18:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:18:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:18:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:18:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:19:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:19:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:19:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:19:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:19:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:19:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:20:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:20:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:20:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:20:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:20:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:20:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:21:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:21:10 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:21:20 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:21:30 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:21:40 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:21:50 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:22:00 GMT-0400 (Eastern Daylight Time),0.0099
Sun May 08 2022 13:22:10 GMT-0400 (Eastern Daylight Time),0.0099
